,Nombre,Descripcion,Img,Info
0,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
1,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
2,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
3,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
4,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
5,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
6,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
7,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
8,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
9,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
10,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
11,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
12,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
13,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
14,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
